Title,Release_Year,Duration,Collection,Genre,Director,Rating,Votes
The Walking Dead,2010–2022,44,"960,865","Drama, Horror, Thriller",Andrew Lincoln,8.2,"960,865"
Predator,1987,107,59.74,"Action, Adventure, Horror",John McTiernan,7.8,"411,198"
Predators,2010,107,52,"Action, Adventure, Sci-Fi",Nimród Antal,6.4,"227,827"
Predator 2,1990,108,30.67,"Action, Horror, Sci-Fi",Stephen Hopkins,6.3,"164,417"
The Godfather,1972,175,134.97,"Crime, Drama",Francis Ford Coppola,9.2,"1,819,087"
The Shawshank Redemption,1994,142,28.34,Drama,Frank Darabont,9.3,"2,626,148"
Forrest Gump,1994,142,330.25,"Drama, Romance",Robert Zemeckis,8.8,"2,031,416"
Orphan,2009,123,41.6,"Horror, Mystery, Thriller",Jaume Collet-Serra,7,"218,265"
Pulp Fiction,1994,154,107.93,"Crime, Drama",Quentin Tarantino,8.9,"2,010,447"
Heat,1995,170,67.44,"Action, Crime, Drama",Michael Mann,8.3,"644,126"
The Lord of the Rings: The Fellowship of the Ring,2001,178,315.54,"Action, Adventure, Drama",Peter Jackson,8.8,"1,822,526"
AVP: Alien vs. Predator,2004,101,80.28,"Action, Adventure, Horror",Paul W.S. Anderson,5.6,"198,385"
Titanic,1997,194,659.33,"Drama, Romance",James Cameron,7.9,"1,151,774"
Harry Potter and the Sorcerer's Stone,2001,152,317.58,"Adventure, Family, Fantasy",Chris Columbus,7.6,"763,000"
The Dark Knight,2008,152,534.86,"Action, Crime, Drama",Christopher Nolan,9,"2,597,489"
Fight Club,1999,139,37.03,Drama,David Fincher,8.8,"2,070,336"
American Psycho,2000,102,15.07,"Crime, Drama, Horror",Mary Harron,7.6,"589,768"
Donnie Brasco,1997,127,41.91,"Biography, Crime, Drama",Mike Newell,7.7,"305,638"
Volcano,1997,104,49.32,"Action, Drama, Sci-Fi",Mick Jackson,5.5,"76,770"
Goodfellas,1990,145,46.84,"Biography, Crime, Drama",Martin Scorsese,8.7,"1,137,639"
Inception,2010,148,292.58,"Action, Adventure, Sci-Fi",Christopher Nolan,8.8,"2,303,446"
Spider-Man,2002,121,403.71,"Action, Adventure, Sci-Fi",Sam Raimi,7.4,"805,449"
AVPR: Aliens vs Predator - Requiem,2007,94,41.8,"Action, Adventure, Horror",Colin Strause,4.6,"124,826"
Alien,1979,117,78.9,"Horror, Sci-Fi",Ridley Scott,8.5,"865,851"
Se7en,1995,127,100.13,"Crime, Drama, Mystery",David Fincher,8.6,"1,614,051"
I Know What You Did Last Summer,1997,101,72.59,"Horror, Mystery",Jim Gillespie,5.8,"145,573"
Jurassic Park,1993,127,402.45,"Action, Adventure, Sci-Fi",Steven Spielberg,8.2,"972,845"
Grease 2,1982,115,15.17,"Comedy, Music, Musical",Patricia Birch,4.4,"35,767"
American Pie,1999,95,102.56,Comedy,Paul Weitz,7,"403,558"
Inglourious Basterds,2009,153,120.54,"Adventure, Drama, War",Quentin Tarantino,8.3,"1,416,813"
Constantine,2005,121,75.98,"Action, Fantasy, Horror",Francis Lawrence,7,"339,945"
The Departed,2006,151,132.38,"Crime, Drama, Thriller",Martin Scorsese,8.5,"1,303,187"
Gladiator,2000,155,187.71,"Action, Adventure, Drama",Ridley Scott,8.5,"1,473,093"
Mission: Impossible,1996,110,180.98,"Action, Adventure, Thriller",Brian De Palma,7.1,"422,501"
The Lord of the Rings: The Return of the King,2003,201,377.85,"Action, Adventure, Drama",Peter Jackson,9,"1,801,181"
The Godfather Part II,1974,202,57.3,"Crime, Drama",Francis Ford Coppola,9,"1,248,841"
Jaws,1975,124,260,"Adventure, Thriller",Steven Spielberg,8.1,"594,499"
Star Wars,1977,121,322.74,"Action, Adventure, Fantasy",George Lucas,8.6,"1,343,112"
Men in Black,1997,98,250.69,"Action, Adventure, Comedy",Barry Sonnenfeld,7.3,"561,171"
Starship Troopers,1997,129,54.81,"Action, Adventure, Sci-Fi",Paul Verhoeven,7.3,"293,046"
Aliens,1986,137,85.16,"Action, Adventure, Sci-Fi",James Cameron,8.4,"707,622"
Scarface,1983,170,45.6,"Crime, Drama",Brian De Palma,8.3,"823,691"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,305.41,"Action, Adventure, Fantasy",Gore Verbinski,8.1,"1,110,295"
No Country for Old Men,2007,122,74.28,"Crime, Drama, Thriller",Ethan Coen,8.2,"954,670"
Shutter Island,2010,138,128.01,"Mystery, Thriller",Martin Scorsese,8.2,"1,280,373"
Iron Man,2008,126,318.41,"Action, Adventure, Sci-Fi",Jon Favreau,7.9,"1,041,835"
Avatar,2009,162,760.51,"Action, Adventure, Fantasy",James Cameron,7.8,"1,215,930"
Ghostbusters,1984,105,238.63,"Action, Comedy, Fantasy",Ivan Reitman,7.8,"409,289"
Requiem for a Dream,2000,102,3.64,Drama,Darren Aronofsky,8.3,"830,331"
The Green Mile,1999,189,136.8,"Crime, Drama, Fantasy",Frank Darabont,8.6,"1,275,734"
The Prestige,2006,130,53.09,"Drama, Mystery, Sci-Fi",Christopher Nolan,8.5,"1,310,084"
Stardust,2007,127,38.63,"Adventure, Family, Fantasy",Matthew Vaughn,7.6,"271,199"
Psycho,1998,105,21.46,"Horror, Mystery, Thriller",Gus Van Sant,4.6,"48,384"
Twilight,2008,122,191.47,"Drama, Fantasy, Romance",Catherine Hardwicke,5.3,"458,146"
Back to the Future,1985,116,210.61,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,8.5,"1,179,108"
